date;mortage
10.10.2013;4.23        
17.10.2013;4.28        
24.10.2013;4.13        
31.10.2013;4.10        
07.11.2013;4.16        
14.11.2013;4.35        
21.11.2013;4.22        
27.11.2013;4.29        
05.12.2013;4.46        
12.12.2013;4.42        
19.12.2013;4.47        
26.12.2013;4.48        
02.01.2014;4.53        
09.01.2014;4.51        
16.01.2014;4.41        
23.01.2014;4.39        
30.01.2014;4.32        
06.02.2014;4.23        
13.02.2014;4.28        
20.02.2014;4.33        
27.02.2014;4.37        
06.03.2014;4.28        
13.03.2014;4.37        
20.03.2014;4.32        
27.03.2014;4.40        
03.04.2014;4.41        
10.04.2014;4.34        
17.04.2014;4.27        
24.04.2014;4.33        
01.05.2014;4.29        
08.05.2014;4.21        
15.05.2014;4.20        
22.05.2014;4.14        
29.05.2014;4.12        
05.06.2014;4.14        
12.06.2014;4.20        
19.06.2014;4.17        
26.06.2014;4.14        
03.07.2014;4.12        
10.07.2014;4.15        
17.07.2014;4.13        
24.07.2014;4.13        
31.07.2014;4.12        
07.08.2014;4.14        
14.08.2014;4.12        
21.08.2014;4.10        
28.08.2014;4.10        
04.09.2014;4.10        
11.09.2014;4.12        
18.09.2014;4.23        
25.09.2014;4.20        
02.10.2014;4.19        
09.10.2014;4.12        
16.10.2014;3.97        
23.10.2014;3.92        
30.10.2014;3.98        
06.11.2014;4.02        
13.11.2014;4.01        
20.11.2014;3.99        
26.11.2014;3.97        
04.12.2014;3.89        
11.12.2014;3.93        
18.12.2014;3.80        
24.12.2014;3.83        
31.12.2014;3.87        
08.01.2015;3.73        
15.01.2015;3.66        
22.01.2015;3.63        
29.01.2015;3.66        
05.02.2015;3.59        
12.02.2015;3.69        
19.02.2015;3.76        
26.02.2015;3.80        
05.03.2015;3.75        
12.03.2015;3.86        
19.03.2015;3.78        
26.03.2015;3.69        
02.04.2015;3.70        
09.04.2015;3.66        
16.04.2015;3.67        
23.04.2015;3.65        
30.04.2015;3.68        
07.05.2015;3.80        
14.05.2015;3.85        
21.05.2015;3.84        
28.05.2015;3.87        
04.06.2015;3.87        
11.06.2015;4.04        
18.06.2015;4.00        
25.06.2015;4.02        
02.07.2015;4.08        
09.07.2015;4.04        
16.07.2015;4.09        
23.07.2015;4.04        
30.07.2015;3.98        
06.08.2015;3.91        
13.08.2015;3.94        
20.08.2015;3.93        
27.08.2015;3.84        
03.09.2015;3.89        
10.09.2015;3.90        
17.09.2015;3.91        
24.09.2015;3.86        
01.10.2015;3.85        
08.10.2015;3.76        
15.10.2015;3.82        
22.10.2015;3.79        
29.10.2015;3.76        
05.11.2015;3.87        
12.11.2015;3.98        
19.11.2015;3.97        
25.11.2015;3.95        
03.12.2015;3.93        
10.12.2015;3.95        
17.12.2015;3.97        
24.12.2015;3.96        
31.12.2015;4.01        
07.01.2016;3.97        
14.01.2016;3.92        
21.01.2016;3.81        
28.01.2016;3.79        
04.02.2016;3.72        
11.02.2016;3.65        
18.02.2016;3.65        
25.02.2016;3.62        
03.03.2016;3.64        
10.03.2016;3.68        
17.03.2016;3.73        
24.03.2016;3.71        
31.03.2016;3.71        
07.04.2016;3.59        
14.04.2016;3.58        
21.04.2016;3.59        
28.04.2016;3.66        
05.05.2016;3.61        
12.05.2016;3.57        
19.05.2016;3.58        
26.05.2016;3.64        
02.06.2016;3.66        
09.06.2016;3.60        
16.06.2016;3.54        
23.06.2016;3.56        
30.06.2016;3.48        
07.07.2016;3.41        
14.07.2016;3.42        
21.07.2016;3.45        
28.07.2016;3.48        
04.08.2016;3.43        
11.08.2016;3.45        
18.08.2016;3.43        
25.08.2016;3.43        
01.09.2016;3.46        
08.09.2016;3.44        
15.09.2016;3.50        
22.09.2016;3.48        
29.09.2016;3.42        
06.10.2016;3.42        
13.10.2016;3.47        
20.10.2016;3.52        
27.10.2016;3.47        
03.11.2016;3.54        
10.11.2016;3.57        
17.11.2016;3.94        
23.11.2016;4.03        
01.12.2016;4.08        
08.12.2016;4.13        
15.12.2016;4.16        
22.12.2016;4.30        
29.12.2016;4.32        
05.01.2017;4.20        
12.01.2017;4.12        
19.01.2017;4.09        
26.01.2017;4.19        
02.02.2017;4.19        
09.02.2017;4.17        
16.02.2017;4.15        
23.02.2017;4.16        
02.03.2017;4.10        
09.03.2017;4.21        
16.03.2017;4.30        
23.03.2017;4.23        
30.03.2017;4.14        
06.04.2017;4.10        
13.04.2017;4.08        
20.04.2017;3.97        
27.04.2017;4.03        
04.05.2017;4.02        
11.05.2017;4.05        
18.05.2017;4.02        
25.05.2017;3.95        
01.06.2017;3.94        
08.06.2017;3.89        
15.06.2017;3.91        
22.06.2017;3.90        
29.06.2017;3.88        
06.07.2017;3.96        
13.07.2017;4.03        
20.07.2017;3.96        
27.07.2017;3.92        
03.08.2017;3.93        
10.08.2017;3.90        
17.08.2017;3.89        
24.08.2017;3.86        
31.08.2017;3.82        
07.09.2017;3.78        
14.09.2017;3.78        
21.09.2017;3.83        
28.09.2017;3.83        
05.10.2017;3.85        
12.10.2017;3.91        
19.10.2017;3.88        
26.10.2017;3.94        
02.11.2017;3.94        
09.11.2017;3.9         
16.11.2017;3.95        
22.11.2017;3.92        
30.11.2017;3.9         
07.12.2017;3.94        
14.12.2017;3.93        
21.12.2017;3.94        
28.12.2017;3.99        
04.01.2018;3.95        
11.01.2018;3.99        
18.01.2018;4.04        
25.01.2018;4.15        
01.02.2018;4.22        
08.02.2018;4.32        
15.02.2018;4.38        
22.02.2018;4.4         
01.03.2018;4.43        
08.03.2018;4.46        
15.03.2018;4.44        
22.03.2018;4.45        
29.03.2018;4.44        
05.04.2018;4.4         
12.04.2018;4.42        
19.04.2018;4.47        
26.04.2018;4.58        
03.05.2018;4.55        
10.05.2018;4.55        
17.05.2018;4.61        
24.05.2018;4.66        
31.05.2018;4.56        
07.06.2018;4.54        
14.06.2018;4.62        
21.06.2018;4.57        
28.06.2018;4.55        
05.07.2018;4.52        
12.07.2018;4.53        
19.07.2018;4.52        
26.07.2018;4.54        
02.08.2018;4.6         
09.08.2018;4.59        
16.08.2018;4.53        
23.08.2018;4.51        
30.08.2018;4.52        
06.09.2018;4.54        
13.09.2018;4.6         
20.09.2018;4.65        
27.09.2018;4.72        
04.10.2018;4.71        
